onset	duration	trial_type	value	sample
0.0	3.10546875	Yes	5	0
3.10546875	3.10546875	Stop	3	795
6.2109375	3.10546875	Hello	1	1590
9.31640625	3.10546875	Yes	5	2385
12.421875	3.10546875	Help me	2	3180
15.52734375	3.10546875	Help me	2	3975
18.6328125	3.10546875	Hello	1	4770
21.73828125	3.10546875	Hello	1	5565
24.84375	3.10546875	Help me	2	6360
27.94921875	3.10546875	Thank you	4	7155
31.0546875	3.10546875	Thank you	4	7950
34.16015625	3.10546875	Thank you	4	8745
37.265625	3.10546875	Stop	3	9540
40.37109375	3.10546875	Help me	2	10335
43.4765625	3.10546875	Help me	2	11130
46.58203125	3.10546875	Help me	2	11925
49.6875	3.10546875	Yes	5	12720
52.79296875	3.10546875	Stop	3	13515
55.8984375	3.10546875	Yes	5	14310
59.00390625	3.10546875	Hello	1	15105
62.109375	3.10546875	Stop	3	15900
65.21484375	3.10546875	Yes	5	16695
68.3203125	3.10546875	Hello	1	17490
71.42578125	3.10546875	Hello	1	18285
74.53125	3.10546875	Help me	2	19080
77.63671875	3.10546875	Help me	2	19875
80.7421875	3.10546875	Yes	5	20670
83.84765625	3.10546875	Yes	5	21465
86.953125	3.10546875	Help me	2	22260
90.05859375	3.10546875	Help me	2	23055
93.1640625	3.10546875	Stop	3	23850
96.26953125	3.10546875	Help me	2	24645
99.375	3.10546875	Help me	2	25440
102.48046875	3.10546875	Hello	1	26235
105.5859375	3.10546875	Thank you	4	27030
108.69140625	3.10546875	Hello	1	27825
111.796875	3.10546875	Yes	5	28620
114.90234375	3.10546875	Hello	1	29415
118.0078125	3.10546875	Thank you	4	30210
121.11328125	3.10546875	Stop	3	31005
124.21875	3.10546875	Hello	1	31800
127.32421875	3.10546875	Help me	2	32595
130.4296875	3.10546875	Thank you	4	33390
133.53515625	3.10546875	Help me	2	34185
136.640625	3.10546875	Yes	5	34980
139.74609375	3.10546875	Stop	3	35775
142.8515625	3.10546875	Thank you	4	36570
145.95703125	3.10546875	Thank you	4	37365
149.0625	3.10546875	Help me	2	38160
152.16796875	3.10546875	Stop	3	38955
155.2734375	3.10546875	Stop	3	39750
158.37890625	3.10546875	Stop	3	40545
161.484375	3.10546875	Hello	1	41340
164.58984375	3.10546875	Thank you	4	42135
167.6953125	3.10546875	Thank you	4	42930
170.80078125	3.10546875	Help me	2	43725
173.90625	3.10546875	Stop	3	44520
177.01171875	3.10546875	Thank you	4	45315
